VARIABLE,DATE,POSITIVE,N
GALLUP,04/04/1963,66,
GALLUP,08/05/1963,64,
GALLUP,15/05/1963,65,
GALLUP,25/05/1963,64,
GALLUP,21/06/1963,61,
GALLUP,15/07/1963,61,
GALLUP,15/08/1963,62,
GALLUP,12/09/1963,56,
GALLUP,11/10/1963,58,
GALLUP,15/11/1963,58,
GALLUP,05/12/1963,78,
GALLUP,12/12/1963,79,
GALLUP,02/01/1964,80,
GALLUP,01/02/1964,75,
GALLUP,15/02/1964,73,
GALLUP,28/02/1964,79,
GALLUP,15/03/1964,77,
GALLUP,27/03/1964,75,
GALLUP,15/04/1964,75,
GALLUP,06/05/1964,75,
GALLUP,25/05/1964,74,
GALLUP,04/06/1964,74,
GALLUP,15/06/1964,74,
GALLUP,25/06/1964,74,
GALLUP,15/11/1964,69,
GALLUP,11/12/1964,69,
GALLUP,07/01/1965,71,
GALLUP,25/01/1965,71,
GALLUP,15/02/1965,68,
GALLUP,05/03/1965,69,
GALLUP,25/03/1965,69,
GALLUP,05/04/1965,67,
GALLUP,23/04/1965,64,
GALLUP,13/05/1965,70,
GALLUP,04/06/1965,69,
GALLUP,24/06/1965,65,
GALLUP,16/07/1965,65,
GALLUP,05/08/1965,65,
GALLUP,27/08/1965,64,
GALLUP,16/09/1965,63,
GALLUP,15/10/1965,66,
GALLUP,19/10/1965,64,
GALLUP,18/11/1965,62,
GALLUP,11/12/1965,63,
GALLUP,05/01/1966,59,
GALLUP,21/01/1966,61,
GALLUP,10/02/1966,56,
GALLUP,03/03/1966,58,
GALLUP,24/03/1966,57,
GALLUP,15/04/1966,54,
GALLUP,05/05/1966,46,
GALLUP,19/05/1966,50,
GALLUP,15/06/1966,48,
GALLUP,08/07/1966,56,
GALLUP,29/07/1966,51,
GALLUP,15/08/1966,48,
GALLUP,08/09/1966,46,
GALLUP,05/10/1966,44,
GALLUP,25/10/1966,44,
GALLUP,10/11/1966,48,
GALLUP,15/12/1966,44,
GALLUP,05/01/1967,47,
GALLUP,26/01/1967,46,
GALLUP,15/02/1967,45,
GALLUP,15/03/1967,45,
GALLUP,25/03/1967,46,
GALLUP,19/04/1967,48,
GALLUP,15/05/1967,45,
GALLUP,02/06/1967,44,
GALLUP,22/06/1967,52,
GALLUP,15/07/1967,47,
GALLUP,05/08/1967,40,
GALLUP,24/08/1967,39,
GALLUP,15/09/1967,38,
GALLUP,15/10/1967,38,
GALLUP,27/10/1967,41,
GALLUP,07/12/1967,46,
GALLUP,04/01/1968,48,
GALLUP,01/02/1968,41,
GALLUP,25/02/1968,41,
GALLUP,15/03/1968,36,
GALLUP,04/04/1968,42,
GALLUP,05/05/1968,46,
GALLUP,25/05/1968,41,
GALLUP,05/06/1968,42,
GALLUP,25/06/1968,40,
GALLUP,15/07/1968,40,
GALLUP,07/08/1968,35,
GALLUP,26/09/1968,42,
GALLUP,09/11/1968,43,
GALLUP,15/12/1968,44,
GALLUP,01/01/1969,49,
GALLUP,23/01/1969,59,
GALLUP,20/02/1969,60,
GALLUP,12/03/1969,65,
GALLUP,25/03/1969,63,
GALLUP,10/04/1969,61,
GALLUP,05/05/1969,62,
GALLUP,15/05/1969,65,
GALLUP,25/05/1969,62,
GALLUP,15/06/1969,63,
GALLUP,19/07/1969,58,
GALLUP,14/08/1969,65,
GALLUP,11/09/1969,60,
GALLUP,19/09/1969,58,
GALLUP,03/10/1969,57,
GALLUP,25/10/1969,56,
GALLUP,12/11/1969,67,
GALLUP,15/12/1969,59,
GALLUP,02/01/1970,61,
GALLUP,15/01/1970,63,
GALLUP,30/01/1970,64,
GALLUP,25/02/1970,56,
GALLUP,18/03/1970,53,
GALLUP,27/03/1970,54,
GALLUP,17/04/1970,56,
GALLUP,29/04/1970,57,
GALLUP,21/05/1970,59,
GALLUP,18/06/1970,55,
GALLUP,09/07/1970,61,
GALLUP,31/07/1970,55,
GALLUP,25/08/1970,55,
GALLUP,05/09/1970,57,
GALLUP,25/09/1970,51,
GALLUP,09/10/1970,58,
GALLUP,13/11/1970,57,
GALLUP,03/12/1970,52,
GALLUP,15/01/1971,56,
GALLUP,19/02/1971,49,
GALLUP,03/03/1971,56,
GALLUP,11/03/1971,50,
GALLUP,05/04/1971,49,
GALLUP,23/04/1971,50,
GALLUP,15/05/1971,50,
GALLUP,04/06/1971,48,
GALLUP,15/06/1971,48,
GALLUP,25/06/1971,48,
GALLUP,15/07/1971,50,
GALLUP,15/08/1971,50,
GALLUP,08/10/1971,52,
GALLUP,29/10/1971,49,
GALLUP,19/11/1971,50,
GALLUP,16/12/1971,49,
GALLUP,07/01/1972,49,
GALLUP,04/02/1972,52,
GALLUP,03/03/1972,56,
GALLUP,24/03/1972,53,
GALLUP,26/05/1972,62,
GALLUP,16/06/1972,59,
GALLUP,23/06/1972,56,
GALLUP,15/11/1972,62,
GALLUP,08/12/1972,59,
GALLUP,12/01/1973,51,
GALLUP,26/01/1973,67,
GALLUP,26/02/1973,67,
GALLUP,30/03/1973,57,
GALLUP,06/04/1973,54,
GALLUP,27/04/1973,48,
GALLUP,04/05/1973,45,
GALLUP,11/05/1973,44,
GALLUP,01/06/1973,44,
GALLUP,22/06/1973,44,
GALLUP,06/07/1973,39,
GALLUP,03/08/1973,31,
GALLUP,17/08/1973,36,
GALLUP,07/09/1973,34,
GALLUP,21/09/1973,33,
GALLUP,05/10/1973,30,
GALLUP,19/10/1973,27,
GALLUP,02/11/1973,27,
GALLUP,30/11/1973,31,
GALLUP,07/12/1973,29,
GALLUP,04/01/1974,27,
GALLUP,18/01/1974,26,
GALLUP,01/02/1974,28,
GALLUP,08/02/1974,27,
GALLUP,22/02/1974,25,
GALLUP,08/03/1974,26,
GALLUP,29/03/1974,26,
GALLUP,12/04/1974,25,
GALLUP,25/04/1974,26,
GALLUP,10/05/1974,25,
GALLUP,31/05/1974,28,
GALLUP,21/06/1974,26,
GALLUP,12/07/1974,24,
GALLUP,31/07/1974,23,
GALLUP,16/08/1974,71,
GALLUP,05/09/1974,66,
GALLUP,27/09/1974,50,
GALLUP,05/10/1974,52,
GALLUP,18/10/1974,55,
GALLUP,08/11/1974,47,
GALLUP,15/11/1974,48,
GALLUP,06/12/1974,42,
GALLUP,10/01/1975,37,
GALLUP,31/01/1975,39,
GALLUP,28/02/1975,39,
GALLUP,28/03/1975,37,
GALLUP,04/04/1975,44,
GALLUP,18/04/1975,39,
GALLUP,02/05/1975,40,
GALLUP,30/05/1975,51,
GALLUP,27/06/1975,52,
GALLUP,01/08/1975,45,
GALLUP,15/08/1975,46,
GALLUP,12/09/1975,47,
GALLUP,03/10/1975,47,
GALLUP,17/10/1975,47,
GALLUP,31/10/1975,44,
GALLUP,21/11/1975,41,
GALLUP,05/12/1975,46,
GALLUP,12/12/1975,39,
GALLUP,02/01/1976,46,
GALLUP,23/01/1976,45,
GALLUP,30/01/1976,46,
GALLUP,27/02/1976,48,
GALLUP,19/03/1976,50,
GALLUP,09/04/1976,48,
GALLUP,21/05/1976,47,
GALLUP,11/06/1976,45,
GALLUP,10/12/1976,53,
GALLUP,01/01/1977,66,
GALLUP,07/02/1977,66,
GALLUP,21/02/1977,71,
GALLUP,01/03/1977,70,
GALLUP,15/03/1977,75,
GALLUP,22/03/1977,72,
GALLUP,29/03/1977,67,
GALLUP,12/04/1977,63,
GALLUP,26/04/1977,63,
GALLUP,03/05/1977,66,
GALLUP,17/05/1977,64,
GALLUP,31/05/1977,62,
GALLUP,14/06/1977,63,
GALLUP,05/07/1977,62,
GALLUP,19/07/1977,67,
GALLUP,02/08/1977,60,
GALLUP,16/08/1977,66,
GALLUP,06/09/1977,54,
GALLUP,27/09/1977,59,
GALLUP,11/10/1977,55,
GALLUP,18/10/1977,54,
GALLUP,25/10/1977,51,
GALLUP,01/11/1977,55,
GALLUP,15/11/1977,56,
GALLUP,16/12/1977,57,
GALLUP,03/01/1978,55,
GALLUP,08/02/1978,47,
GALLUP,21/02/1978,50,
GALLUP,01/03/1978,49,
GALLUP,07/03/1978,50,
GALLUP,28/03/1978,47,
GALLUP,11/04/1978,40,
GALLUP,25/04/1978,41,
GALLUP,03/05/1978,41,
GALLUP,16/05/1978,43,
GALLUP,30/05/1978,44,
GALLUP,13/06/1978,42,
GALLUP,05/07/1978,40,
GALLUP,18/07/1978,39,
GALLUP,01/08/1978,39,
GALLUP,08/08/1978,40,
GALLUP,15/08/1978,43,
GALLUP,05/09/1978,42,
GALLUP,11/09/1978,45,
GALLUP,19/09/1978,48,
GALLUP,29/10/1978,49,
GALLUP,17/11/1978,52,
GALLUP,05/12/1978,51,
GALLUP,02/01/1979,50,
GALLUP,16/01/1979,43,
GALLUP,30/01/1979,42,
GALLUP,20/02/1979,37,
GALLUP,27/02/1979,39,
GALLUP,13/03/1979,47,
GALLUP,20/03/1979,43,
GALLUP,03/04/1979,40,
GALLUP,01/05/1979,37,
GALLUP,15/05/1979,32,
GALLUP,29/05/1979,29,
GALLUP,19/06/1979,29,
GALLUP,26/06/1979,28,
GALLUP,30/07/1979,32,
GALLUP,31/07/1979,32,
GALLUP,07/08/1979,34,
GALLUP,14/08/1979,32,
GALLUP,04/09/1979,30,
GALLUP,02/10/1979,29,
GALLUP,14/10/1979,31,
GALLUP,13/11/1979,38,
GALLUP,27/11/1979,52,
GALLUP,04/12/1979,54,
GALLUP,02/01/1980,56,
GALLUP,22/01/1980,58,
GALLUP,29/01/1980,55,
GALLUP,26/02/1980,52,
GALLUP,04/03/1980,43,
GALLUP,24/03/1980,50,
GALLUP,08/04/1980,40,
GALLUP,29/04/1980,43,
GALLUP,13/05/1980,38,
GALLUP,27/05/1980,38,
GALLUP,10/06/1980,32,
GALLUP,24/06/1980,31,
GALLUP,08/07/1980,33,
GALLUP,10/07/1980,29,
GALLUP,12/08/1980,32,
GALLUP,09/09/1980,37,
GALLUP,18/11/1980,31,
GALLUP,03/12/1980,34,
GALLUP,27/01/1981,51,
GALLUP,20/02/1981,55,
GALLUP,10/03/1981,59,
GALLUP,31/03/1981,67,
GALLUP,07/04/1981,67,
GALLUP,05/05/1981,68,
GALLUP,02/06/1981,59,
GALLUP,16/06/1981,59,
GALLUP,23/06/1981,58,
GALLUP,21/07/1981,56,
GALLUP,28/07/1981,59,
GALLUP,11/08/1981,60,
GALLUP,15/09/1981,52,
GALLUP,29/09/1981,56,
GALLUP,27/10/1981,54,
GALLUP,10/11/1981,49,
GALLUP,17/11/1981,55,
GALLUP,08/12/1981,49,
GALLUP,09/01/1982,49,
GALLUP,23/01/1982,47,
GALLUP,07/02/1982,47,
GALLUP,14/03/1982,46,
GALLUP,04/04/1982,45,
GALLUP,25/04/1982,43,
GALLUP,02/05/1982,44,
GALLUP,16/05/1982,45,
GALLUP,13/06/1982,45,
GALLUP,27/06/1982,44,
GALLUP,25/07/1982,42,
GALLUP,01/08/1982,41,
GALLUP,15/08/1982,41,
GALLUP,29/08/1982,42,
GALLUP,19/09/1982,42,
GALLUP,17/10/1982,42,
GALLUP,07/11/1982,43,
GALLUP,21/11/1982,43,
GALLUP,21/12/1982,41,
GALLUP,16/01/1983,37,
GALLUP,23/01/1983,37,
GALLUP,30/01/1983,35,
GALLUP,27/02/1983,40,
GALLUP,13/03/1983,41,
GALLUP,17/04/1983,41,
GALLUP,01/05/1983,43,
GALLUP,15/05/1983,43,
GALLUP,22/05/1983,46,
GALLUP,12/06/1983,43,
GALLUP,26/06/1983,47,
GALLUP,24/07/1983,42,
GALLUP,01/08/1983,44,
GALLUP,07/08/1983,43,
GALLUP,14/08/1983,43,
GALLUP,21/08/1983,43,
GALLUP,11/09/1983,47,
GALLUP,18/09/1983,47,
GALLUP,10/10/1983,45,
GALLUP,23/10/1983,49,
GALLUP,20/11/1983,53,
GALLUP,11/12/1983,54,
GALLUP,15/01/1984,52,
GALLUP,28/01/1984,55,
GALLUP,11/02/1984,56,
GALLUP,17/03/1984,54,
GALLUP,07/04/1984,54,
GALLUP,19/05/1984,53,
GALLUP,23/06/1984,54,
GALLUP,01/07/1984,53,
GALLUP,07/07/1984,53,
GALLUP,14/07/1984,56,
GALLUP,28/07/1984,52,
GALLUP,15/08/1984,54,
GALLUP,04/09/1984,57,
GALLUP,18/09/1984,57,
GALLUP,25/09/1984,54,
GALLUP,27/10/1984,58,
GALLUP,19/11/1984,61,
GALLUP,01/12/1984,62,
GALLUP,09/12/1984,59,
GALLUP,13/01/1985,62,
GALLUP,28/01/1985,64,
GALLUP,18/02/1985,60,
GALLUP,11/03/1985,56,
GALLUP,15/04/1985,52,
GALLUP,20/05/1985,55,
GALLUP,10/06/1985,58,
GALLUP,15/07/1985,63,
GALLUP,15/08/1985,65,
GALLUP,16/09/1985,60,
GALLUP,14/10/1985,63,
GALLUP,18/11/1985,65,
GALLUP,09/12/1985,63,
GALLUP,13/01/1986,64,
GALLUP,10/03/1986,63,
GALLUP,14/04/1986,62,
GALLUP,19/05/1986,68,
GALLUP,09/06/1986,61,
GALLUP,16/06/1986,64,
GALLUP,14/07/1986,63,
GALLUP,11/08/1986,61,
GALLUP,15/09/1986,61,
GALLUP,27/10/1986,63,
GALLUP,05/12/1986,47,
GALLUP,19/01/1987,48,
GALLUP,27/02/1987,40,
GALLUP,06/03/1987,46,
GALLUP,18/03/1987,47,
GALLUP,13/04/1987,48,
GALLUP,14/06/1987,53,
GALLUP,13/07/1987,49,
GALLUP,06/09/1987,49,
GALLUP,07/12/1987,49,
GALLUP,08/01/1988,50,2109
GALLUP,22/01/1988,49,2061
GALLUP,25/01/1988,49,
GALLUP,03/02/1988,53,613
GALLUP,07/03/1988,51,
GALLUP,10/03/1988,51,755
GALLUP,11/04/1988,50,
GALLUP,13/05/1988,50,1011
GALLUP,14/05/1988,48,3021
GALLUP,22/05/1988,48,
GALLUP,13/06/1988,51,
GALLUP,01/07/1988,51,1000
GALLUP,18/07/1988,54,
GALLUP,22/08/1988,53,
GALLUP,09/09/1988,54,1001
GALLUP,25/09/1988,54,1001
GALLUP,11/11/1988,57,1025
GALLUP,27/12/1988,63,1213
GALLUP,24/01/1989,51,1001
GALLUP,27/01/1989,55,2048
GALLUP,24/02/1989,61,1052
GALLUP,28/02/1989,63,1000
GALLUP,10/03/1989,56,1050
GALLUP,10/04/1989,58,1007
GALLUP,04/05/1989,56,1239
GALLUP,05/05/1989,58,1073
GALLUP,15/05/1989,63,1250
GALLUP,08/06/1989,70,1235
GALLUP,06/07/1989,67,1253
GALLUP,10/08/1989,69,1250
GALLUP,15/08/1989,64,1007
GALLUP,07/09/1989,70,1238
GALLUP,22/09/1989,67,998
GALLUP,05/10/1989,68,1234
GALLUP,13/10/1989,60,1025
GALLUP,09/11/1989,70,1230
GALLUP,10/11/1989,64,1019
GALLUP,07/12/1989,71,1235
GALLUP,04/01/1990,80,1226
GALLUP,08/02/1990,73,1227
GALLUP,09/02/1990,72,1001
GALLUP,15/02/1990,73,1235
GALLUP,08/03/1990,68,1228
GALLUP,15/03/1990,74,1225
GALLUP,16/03/1990,74,1073
GALLUP,05/04/1990,68,1223
GALLUP,06/04/1990,71,1062
GALLUP,19/04/1990,67,1239
GALLUP,04/05/1990,66,1008
GALLUP,04/05/1990,67,1166
GALLUP,17/05/1990,65,1255
GALLUP,07/06/1990,68,1233
GALLUP,15/06/1990,69,1236
GALLUP,06/07/1990,63,1240
GALLUP,19/07/1990,60,1242
GALLUP,20/07/1990,61,1068
GALLUP,09/08/1990,75,770
GALLUP,09/08/1990,74,1227
GALLUP,10/08/1990,68,1030
GALLUP,16/08/1990,75,1241
GALLUP,23/08/1990,76,1010
GALLUP,30/08/1990,74,1007
GALLUP,10/09/1990,76,1031
GALLUP,14/09/1990,72,1024
GALLUP,21/09/1990,67,1049
GALLUP,27/09/1990,68,1000
GALLUP,03/10/1990,66,1010
GALLUP,11/10/1990,54,757
GALLUP,11/10/1990,56,1009
GALLUP,18/10/1990,57,755
GALLUP,18/10/1990,53,1002
GALLUP,25/10/1990,48,753
GALLUP,25/10/1990,55,1012
GALLUP,08/11/1990,58,1008
GALLUP,09/11/1990,51,1063
GALLUP,15/11/1990,58,754
GALLUP,15/11/1990,54,1018
GALLUP,29/11/1990,61,1013
GALLUP,06/12/1990,63,769
GALLUP,06/12/1990,58,1007
GALLUP,08/12/1990,67,1034
GALLUP,13/12/1990,63,1019
GALLUP,03/01/1991,64,759
GALLUP,03/01/1991,59,1006
GALLUP,10/01/1991,64,751
GALLUP,11/01/1991,64,1004
GALLUP,17/01/1991,83,752
GALLUP,17/01/1991,82,1019
GALLUP,19/01/1991,82,1008
GALLUP,23/01/1991,83,1011
GALLUP,24/01/1991,86,750
GALLUP,26/01/1991,74,1020
GALLUP,30/01/1991,82,1005
GALLUP,07/02/1991,79,1013
GALLUP,14/02/1991,80,1009
GALLUP,16/02/1991,80,1029
GALLUP,21/02/1991,80,1006
GALLUP,22/02/1991,85,768
GALLUP,28/02/1991,89,1012
GALLUP,01/03/1991,89,769
GALLUP,07/03/1991,87,1018
GALLUP,14/03/1991,86,763
GALLUP,14/03/1991,86,1005
GALLUP,21/03/1991,84,1010
GALLUP,28/03/1991,82,1014
GALLUP,04/04/1991,82,751
GALLUP,04/04/1991,83,1002
GALLUP,11/04/1991,77,1007
GALLUP,18/04/1991,78,761
GALLUP,23/04/1991,73,924
GALLUP,25/04/1991,76,1005
GALLUP,02/05/1991,74,1014
GALLUP,16/05/1991,77,1002
GALLUP,23/05/1991,76,1003
GALLUP,30/05/1991,74,1012
GALLUP,13/06/1991,71,990
GALLUP,26/06/1991,72,1000
GALLUP,11/07/1991,72,1217
GALLUP,18/07/1991,70,1002
GALLUP,25/07/1991,71,1215
GALLUP,08/08/1991,71,1013
GALLUP,19/08/1991,69,712
GALLUP,23/08/1991,74,1018
GALLUP,29/08/1991,69,1216
GALLUP,05/09/1991,70,1005
GALLUP,13/09/1991,68,1216
GALLUP,26/09/1991,66,1005
GALLUP,03/10/1991,65,1003
GALLUP,10/10/1991,66,1000
GALLUP,17/10/1991,66,1000
GALLUP,24/10/1991,55,752
GALLUP,24/10/1991,62,1003
GALLUP,31/10/1991,59,1219
GALLUP,07/11/1991,56,1011
GALLUP,14/11/1991,56,1002
GALLUP,21/11/1991,52,1005
GALLUP,05/12/1991,52,1004
GALLUP,12/12/1991,50,1005
GALLUP,03/01/1992,46,1433
GALLUP,16/01/1992,46,1001
GALLUP,31/01/1992,47,1007
GALLUP,06/02/1992,44,1002
GALLUP,19/02/1992,39,1039
GALLUP,20/02/1992,42,767
GALLUP,28/02/1992,41,1001
GALLUP,20/03/1992,41,1301
GALLUP,26/03/1992,41,1004
GALLUP,09/04/1992,39,1002
GALLUP,20/04/1992,42,1273
GALLUP,07/05/1992,42,1015
GALLUP,18/05/1992,41,1081
GALLUP,04/06/1992,37,1002
GALLUP,12/06/1992,37,1260
GALLUP,26/06/1992,38,1206
GALLUP,24/07/1992,32,1000
GALLUP,31/07/1992,29,1001
GALLUP,21/08/1992,40,939
GALLUP,21/08/1992,38,944
GALLUP,31/08/1992,39,1243
GALLUP,11/09/1992,39,1441
GALLUP,17/09/1992,36,1000
GALLUP,01/10/1992,34,1243
GALLUP,12/10/1992,34,1046
GALLUP,20/11/1992,43,1007
GALLUP,04/12/1992,49,1005
GALLUP,18/12/1992,49,1004
GALLUP,08/01/1993,56,1000
GALLUP,24/01/1993,58,1000
GALLUP,28/01/1993,51,774
GALLUP,29/01/1993,54,1001
GALLUP,12/02/1993,51,1003
GALLUP,18/02/1993,52,1015
GALLUP,18/02/1993,57,753
GALLUP,26/02/1993,59,1005
GALLUP,12/03/1993,53,1007
GALLUP,19/03/1993,55,1003
GALLUP,25/03/1993,57,755
GALLUP,29/03/1993,52,1000
GALLUP,22/04/1993,55,1000
GALLUP,10/05/1993,45,1011
GALLUP,14/05/1993,44,1040
GALLUP,21/05/1993,44,1023
GALLUP,05/06/1993,37,1005
GALLUP,18/06/1993,39,1003
GALLUP,29/06/1993,46,1008
GALLUP,09/07/1993,45,1002
GALLUP,19/07/1993,42,1011
GALLUP,23/07/1993,45,1037
GALLUP,08/08/1993,44,1003
GALLUP,13/08/1993,43,1011
GALLUP,23/08/1993,44,1065
GALLUP,26/08/1993,44,1028
GALLUP,10/09/1993,47,1002
GALLUP,13/09/1993,46,802
GALLUP,16/09/1993,46,990
GALLUP,24/09/1993,56,1003
GALLUP,01/10/1993,49,1002
GALLUP,08/10/1993,50,1019
GALLUP,13/10/1993,47,1244
GALLUP,22/10/1993,44,940
GALLUP,28/10/1993,48,1017
GALLUP,02/11/1993,48,1003
GALLUP,15/11/1993,50,1008
GALLUP,19/11/1993,48,1003
GALLUP,04/12/1993,52,1001
GALLUP,17/12/1993,54,1014
GALLUP,06/01/1994,54,1023
GALLUP,15/01/1994,54,1010
GALLUP,21/01/1994,53,1000
GALLUP,28/01/1994,58,1013
GALLUP,26/02/1994,53,1015
GALLUP,04/03/1994,50,929
GALLUP,07/03/1994,50,1023
GALLUP,11/03/1994,50,1007
GALLUP,25/03/1994,52,1036
GALLUP,28/03/1994,51,1014
GALLUP,08/04/1994,48,1044
GALLUP,16/04/1994,51,1002
GALLUP,13/05/1994,50,963
GALLUP,20/05/1994,51,1005
GALLUP,03/06/1994,46,1001
GALLUP,11/06/1994,49,756
GALLUP,17/06/1994,45,1003
GALLUP,25/06/1994,44,1019
GALLUP,01/07/1994,43,942
GALLUP,15/07/1994,43,1001
GALLUP,22/07/1994,42,987
GALLUP,08/08/1994,43,1016
GALLUP,15/08/1994,39,1011
GALLUP,19/08/1994,42,1000
GALLUP,06/09/1994,40,1022
GALLUP,20/09/1994,44,1009
GALLUP,23/09/1994,44,1008
GALLUP,07/10/1994,43,1013
GALLUP,18/10/1994,41,1006
GALLUP,22/10/1994,48,1007
GALLUP,02/11/1994,46,1998
GALLUP,28/11/1994,43,1020
GALLUP,02/12/1994,42,1014
GALLUP,02/12/1994,31,1014
GALLUP,16/12/1994,43,1016
GALLUP,28/12/1994,40,1010
GALLUP,16/01/1995,47,1002
GALLUP,20/01/1995,46,985
GALLUP,03/02/1995,49,1010
GALLUP,10/02/1995,47,1001
GALLUP,24/02/1995,42,1003
GALLUP,17/03/1995,46,1220
GALLUP,17/03/1995,47,1006
GALLUP,27/03/1995,44,1015
GALLUP,01/04/1995,51,1008
GALLUP,17/04/1995,46,1007
GALLUP,21/04/1995,51,1008
GALLUP,21/04/1995,51,918
GALLUP,05/05/1995,47,996
GALLUP,11/05/1995,51,1000
GALLUP,19/05/1995,42,904
GALLUP,05/06/1995,47,1005
GALLUP,09/06/1995,49,1068
GALLUP,23/06/1995,47,1014
GALLUP,07/07/1995,48,801
GALLUP,14/07/1995,47,1043
GALLUP,20/07/1995,47,1208
GALLUP,28/07/1995,48,1033
GALLUP,04/08/1995,46,1210
GALLUP,11/08/1995,46,1006
GALLUP,11/08/1995,45,1034
GALLUP,25/08/1995,46,1051
GALLUP,28/08/1995,46,1017
GALLUP,14/09/1995,44,1020
GALLUP,22/09/1995,48,1011
GALLUP,05/10/1995,46,1225
GALLUP,13/10/1995,47,1022
GALLUP,19/10/1995,49,1229
GALLUP,27/10/1995,46,1105
GALLUP,06/11/1995,52,931
GALLUP,17/11/1995,53,615
GALLUP,15/12/1995,51,1000
GALLUP,05/01/1996,42,1000
GALLUP,12/01/1996,46,1039
GALLUP,13/01/1996,46,1048
GALLUP,16/02/1996,51,1060
GALLUP,23/02/1996,53,1002
GALLUP,01/03/1996,52,930
GALLUP,08/03/1996,54,979
GALLUP,15/03/1996,52,1008
GALLUP,09/04/1996,53,1010
GALLUP,19/04/1996,57,978
GALLUP,25/04/1996,56,1001
GALLUP,09/05/1996,55,1001
GALLUP,28/05/1996,53,1019
GALLUP,15/06/1996,55,1032
GALLUP,18/06/1996,58,1004
GALLUP,22/06/1996,55,1049
GALLUP,27/06/1996,52,1004
GALLUP,18/07/1996,57,1010
GALLUP,20/07/1996,52,1033
GALLUP,26/07/1996,58,1008
GALLUP,05/08/1996,57,1179
GALLUP,16/08/1996,52,1006
GALLUP,17/08/1996,53,1023
GALLUP,23/08/1996,53,1188
GALLUP,07/09/1996,60,1056
GALLUP,08/09/1996,58,1013
GALLUP,14/09/1996,53,1295
GALLUP,17/09/1996,55,1359
GALLUP,01/10/1996,58,1374
GALLUP,02/10/1996,57,1324
GALLUP,05/10/1996,53,997
GALLUP,26/10/1996,54,1229
GALLUP,27/10/1996,55,1001
GALLUP,21/11/1996,58,1003
GALLUP,09/12/1996,58,813
GALLUP,03/01/1997,58,1022
GALLUP,10/01/1997,62,1005
GALLUP,18/01/1997,63,1032
GALLUP,08/02/1997,61,1006
GALLUP,22/02/1997,55,1009
GALLUP,24/02/1997,57,1036
GALLUP,15/03/1997,56,1001
GALLUP,24/03/1997,59,1009
GALLUP,11/04/1997,54,1003
GALLUP,06/05/1997,57,1019
GALLUP,30/05/1997,56,935
GALLUP,26/06/1997,55,1013
GALLUP,12/07/1997,60,1038
GALLUP,25/07/1997,58,1004
GALLUP,26/07/1997,55,1017
GALLUP,09/08/1997,59,1074
GALLUP,06/01/1998,60,1015
GALLUP,16/01/1998,60,1004
GALLUP,21/01/1998,62,676
GALLUP,28/01/1998,67,672
GALLUP,30/01/1998,69,1013
GALLUP,04/02/1999,65,1022
GALLUP,08/02/1999,65,1054
GALLUP,09/02/1999,70,711
GALLUP,12/02/1999,68,1034
GALLUP,19/02/1999,66,1014
GALLUP,26/02/1999,66,1013
GALLUP,12/03/1999,62,1025
GALLUP,19/03/1999,64,1018
GALLUP,30/03/1999,64,1078
GALLUP,06/04/1999,59,1055
GALLUP,13/04/1999,60,1069
GALLUP,30/04/1999,60,1014
GALLUP,07/05/1999,60,1025
GALLUP,23/05/1999,53,1050
GALLUP,04/06/1999,60,1053
GALLUP,11/06/1999,60,1022
GALLUP,25/06/1999,57,1016
GALLUP,13/07/1999,59,1061
GALLUP,16/07/1999,58,1031
GALLUP,22/07/1999,64,1021
GALLUP,03/08/1999,60,1048
GALLUP,16/08/1999,59,1028
GALLUP,24/08/1999,60,1028
GALLUP,10/09/1999,60,1698
GALLUP,23/09/1999,59,1039
GALLUP,08/10/1999,56,976
GALLUP,21/10/1999,59,1005
GALLUP,04/11/1999,58,1011
GALLUP,18/11/1999,59,1010
GALLUP,09/12/1999,56,1037
GALLUP,20/12/1999,57,1031
GALLUP,07/01/2000,63,1633
GALLUP,13/01/2000,59,1027
GALLUP,17/01/2000,62,1496
GALLUP,25/01/2000,64,1044
GALLUP,04/02/2000,63,1018
GALLUP,14/02/2000,62,1050
GALLUP,10/03/2000,63,1006
GALLUP,17/03/2000,56,1024
GALLUP,30/03/2000,62,998
GALLUP,28/04/2000,59,1003
GALLUP,05/05/2000,57,1031
GALLUP,18/05/2000,57,1011
GALLUP,06/06/2000,60,1059
GALLUP,22/06/2000,55,1021
GALLUP,06/07/2000,59,1001
GALLUP,14/07/2000,59,1063
GALLUP,25/07/2000,57,1035
GALLUP,04/08/2000,57,1051
GALLUP,11/08/2000,58,1023
GALLUP,18/08/2000,62,1043
GALLUP,29/08/2000,62,1012
GALLUP,11/09/2000,60,1008
GALLUP,06/10/2000,58,1052
GALLUP,25/10/2000,57,1004
GALLUP,13/11/2000,63,1028
GALLUP,02/12/2000,60,1026
GALLUP,15/12/2000,66,1011
GALLUP,05/01/2001,65,1018
GALLUP,10/01/2001,66,1004
GALLUP,01/02/2001,57,1003
GALLUP,09/02/2001,57,1016
GALLUP,19/02/2001,62,1016
GALLUP,05/03/2001,63,1060
GALLUP,09/03/2001,58,1015
GALLUP,26/03/2001,53,1024
GALLUP,06/04/2001,59,1025
GALLUP,20/04/2001,62,1015
GALLUP,07/05/2001,53,1005
GALLUP,10/05/2001,56,1012
GALLUP,18/05/2001,56,1010
GALLUP,08/06/2001,55,1011
